SCORE,TITLE,BY,URL
370,Stripe: Bitcoin,sunils34,https://stripe.com/bitcoin
112,The Great SIM Heist: How Spies Stole the Keys to the Encryption Castle,frandroid,https://firstlook.org/theintercept/2015/02/19/great-sim-heist/
590,Extracting the SuperFish certificate,robin_reala,http://blog.erratasec.com/2015/02/extracting-superfish-certificate.html
71,Show HN: Gun v0.1.0 – The Easiest Database Ever,marknadal,http://gundb.io/#step1
117,The Poor Man's Voxel Engine,et1337,http://et1337.com/2015/02/18/the-poor-mans-voxel-engine/#
100,EFF to Supreme Court: The Fourth Amendment Covers DNA Collection,DiabloD3,https://www.eff.org/press/releases/eff-supreme-court-fourth-amendment-covers-dna-collection
60,Dell XPS 13 Review,ismavis,http://www.anandtech.com/show/8983/dell-xps-13-review
84,Postico – A modern PostgreSQL client for OS X,tortilla,https://eggerapps.at/postico
39,Common Lisp in the 21st Century,phabian,http://cl21.org/
495,Oliver Sacks on learning he has terminal cancer,the_duck,http://www.nytimes.com/2015/02/19/opinion/oliver-sacks-on-learning-he-has-terminal-cancer.html
66,Ask HN: How do your enterprise customers pay you?,zackliscio,
155,How to Grow a Forest Really Really Fast,rokhayakebe,https://medium.com/ted-fellows/how-to-grow-a-forest-really-really-fast-d27df202ba09
1,Automatic (YC S11) is hiring a senior firmware engineer,thejo,https://boards.greenhouse.io/automatic/jobs/46904#.VOUBPlPF8i4
32,Epic Games launches Unreal development grants,bluesilver07,https://www.unrealengine.com/blog/epic-launches-unreal-dev-grants
77,Major Changes from Solr 4 to Solr 5,chatman,https://cwiki.apache.org/confluence/display/solr/Major+Changes+from+Solr+4+to+Solr+5
12,Using Google Cloud Platform for Security Scanning,ldayley,http://googleonlinesecurity.blogspot.com/2015/02/using-google-cloud-platform-for.html
16,How Japan's Line app became a culture-changing revenue-generating phenomenon,technologizer,http://www.fastcompany.com/3041578/most-innovative-companies-2015/how-japans-line-app-became-a-culture-changing-revenue-generat
125,Announcing Graylog v1.0 GA,lennartkoopmann,https://www.graylog.org/announcing-graylog-v1-0-ga/
35,Basic Personality Changes Linked to Unemployment,skorecky,http://www.apa.org/news/press/releases/2015/02/personality-unemployment.aspx
306,Hacker Claims Feds Hit Him with 44 Felonies When He Refused to Be an FBI Spy,ghosh,http://www.wired.com/2015/02/hacker-claims-feds-hit-44-felonies-refused-fbi-spy/
13,Did dark matter do in the dinosaurs?,known,http://www.economist.com/news/science-and-technology/21644144-one-scientific-mystery-may-have-caused-another-did-dark-matter-do
19,Scott Aaronson from computational complexity to quantum mechanics,dnetesn,http://nautil.us/issue/21/information/ingenious-scott-aaronson
13,Announcing a Specification for Hack,jamesgpearce,http://hhvm.com/blog/8537/announcing-a-specification-for-hack
8,Loci: A C++-like systems programming language,rayiner,http://loci-lang.org
13,Show HN: Vulnia – Security email alerts about technologies you use daily,jipipayo,https://vulnia.com/
81,Bup – An efficient backup system based on the git packfile format,tambourine_man,https://bup.github.io/
8,Physicists Trim the Noise from Quantum Computing,DiabloD3,http://motherboard.vice.com/read/physicists-trim-the-noise-from-quantum-computing
22,Reduce allocation in Go code,percept,http://methane.github.io/2015/02/reduce-allocation-in-go-code/
18,On the Comprehension of Program Comprehension,alxndr,http://neverworkintheory.org/2015/02/13/on-comprehension-of-program-comprehension.html
37,The Nial Programming Language,brudgers,http://www.nial.com/AboutNial.html
19,Why Retro Rules,jsnell,http://www.explorminate.com/#!Why-Retro-Rules/c15kj/209B957C-CFA4-41C7-B83A-B3C81576750D
11,Lenovo CTO: We’re Working to Wipe Superfish App Off of PCs,coldcode,http://blogs.wsj.com/digits/2015/02/19/lenovo-cto-were-working-to-wipe-superfish-app-off-of-pcs/
19,Set Theory and Axiomatic Systems,archibaldJ,http://0a.io/0a-explains-set-theory-and-axiomatic-systems-with-pics-and-gifs
220,Microsoft Is the New Google Google Is the Old Microsoft,hashx,http://www.forbes.com/sites/gordonkelly/2015/02/18/microsoft-google-swap/?
5,Functional Utilities for C++,ingve,https://github.com/splinterofchaos/fu
150,Show HN: SQL Teaching – Codecademy for SQL,rhc2104,http://www.sqlteaching.com/
303,Lenovo Statement on Superfish,mmastrac,http://news.lenovo.com/article_display.cfm?article_id=1929
46,Show HN: MUI – Lightweight Material Design CSS Framework,andres,https://www.muicss.com
1,Ambition Hiring VP of Sales,ttruett,
9,Low Latency,edward,http://shorttermmemoryloss.com/nor/2015/01/04/low-latency/
68,Entrepreneur First Demo Day,kixa,http://techcrunch.com/2015/02/19/entrepreneur-first-hatches-latest-startups-partners-with-media-power-players/
5,The Life of an HTTP Request in Rails,vinnyglennon,https://www.omniref.com/ruby/gems/railties/4.2.0/symbols/Rails::Application#annotation=4084035&line=161
106,Apparently transparent – CSS3D HTML5 Experiment,alexcasalboni,http://www.dhteumeuleu.com/apparently-transparent
91,Sex redefined: the idea of two sexes is simplistic,Thevet,http://www.nature.com/news/sex-redefined-1.16943
111,Arcosanti,riffraff,http://en.wikipedia.org/wiki/Arcosanti
22,Show HN: Gamamia: Find share and discuss indie games,awwstn,http://gamamia.com
15,The New Auteurism: True Detective Top of the Lake and Avant Garde Television,andrelaszlo,http://www.joylesscreatures.com/feature-articles/the-new-auteurism-true-detective-top-of-the-lake-and-avant-garde-television
151,Your App Is Not Better than an Open Protocol,bckmn,http://www.andjosh.com/2015/02/15/using-open-protocols/
7,Ninety Five Percent of Carbanak Malware Exhibits Stealthy or Evasive Behaviors,matthewjbaker,http://labs.lastline.com/ninety-five-percent-of-carbanak-malware-exhibits-stealthy-or-evasive-behaviors
123,HTTP/2 Approved,EvilPhil,http://www.ietf.org/blog/2015/02/http2-approved/
43,Introducing Heroku Enterprise: New Features for Teams,Spiritus,https://blog.heroku.com/archives/2015/2/19/introducing-heroku-enterprise-new-features-for-teams
118,Thousands of people are watching this guy code a search engine,DiabloD3,http://motherboard.vice.com/read/thousands-of-people-are-watching-this-guy-code-a-search-engine
77,Apple Poaching Auto Engineers to Build Battery Division,antr,http://www.nytimes.com/reuters/2015/02/18/business/18reuters-apple-autos-lawsuit.html?ref=business&_r=0
85,Italian bank's almost risk-free cash-for-cheese loan,selvan,http://edition.cnn.com/2013/08/15/business/parmesan-cheese-bank-mpe/
51,Super Cheap Data Backups with Amazon Glacier Storage,signa11,http://spin.atomicobject.com/2015/02/15/cheap-long-term-backup-amazon-glacier-storage/
75,Ask HN: Switching from OS X to Linux,0942v8653,
12,Gian-Carlo Rota on Alonzo Church (2008),aniijbod,http://www-history.mcs.st-and.ac.uk/Extras/Church.html
12,Light Reveals New Details of Gauguin’s Creative Process,wglb,http://www.northwestern.edu/newscenter/stories/2015/02/light-reveals-new-details-of-gauguins-creative-process.html
112,An IoT dashboard,Maakuth,http://dashboard.sidlee.com/
3,Show HN: Non-root package manager,hmage,http://hmage.github.io/norm/
1,Heap is hiring engineers to build large-scale data infrastructure,matm,https://heapanalytics.com/jobs
10,Intro to data structures with locality of reference features,knowledgesale,http://www.borzov.ca/posts/xfast
763,Whiteboard Clock,unbeli,https://docs.google.com/document/u/2/d/197pwFltWL2HPnOAmC840sPHhjxqxiOnNVOuI_dnLLb4/pub
42,Are Submarines About to Become Obsolete?,Sami_Lehtinen,http://nationalinterest.org/feature/are-submarines-about-become-obsolete-12253
