ID,KARMA,CREATED,SUBMISSIONS
0x0,5186,1288173577,1252
0x006A,531,1322658652,136
13,146,1412355397,69
23david,544,1296243811,181
27182818284,1484,1215374975,1067
2Pacalypse-,10,1367943563,10
5414h,-18,1404824993,20
ANTSANTS,2061,1346073937,536
Aardwolf,1223,1347787789,689
Afforess,1769,1358977044,332
Aldo_MX,549,1363402871,284
AlexanderDhoore,1221,1361115719,343
Aloha,1492,1314502803,565
Alphasite_,154,1354313715,152
AlyssaRowan,600,1401661586,273
Amezarak,330,1387591199,133
AndrewDucker,17050,1228825147,2097
Animats,1906,1410156919,448
Argorak,4902,1284649073,1229
ArtDev,209,1374098873,164
Bahamut,1003,1375545968,574
Balgair,402,1366928486,254
Beltiras,230,1338392349,121
Blackthorn,202,1400303399,78
BugBrother,348,1389523509,394
CamperBob2,4843,1336344732,2119
ChrisNorstrom,4259,1298300901,1003
ChuckMcM,38877,1286399595,8159
Coding_Cat,23,1413033817,7
Crito,6721,1371720286,2040
DCKing,938,1386519688,278
DanBC,24770,1316712157,10369
DanielBMarkham,35845,1188438568,6252
Danieru,2255,1328424279,478
Ded7xSEoPKYNsDd,22,1410701168,14
DenisM,5361,1208724375,2425
DennisP,2909,1190414133,1402
Derbasti,2330,1242833113,892
Dewie,1971,1364080104,1611
Dylan16807,4435,1265294771,3237
EGreg,3232,1206622687,2261
EugeneOZ,197,1332362658,170
ExpiredLink,1105,1313415452,695
Fastidious,85,1407101373,92
FreakyT,145,1370046750,56
GFK_of_xmaspast,822,1387519891,650
GhotiFish,1611,1359837568,919
Gracana,765,1388332258,341
Gravityloss,1019,1307024756,671
GuiA,10253,1318288810,1437
Hario,124,1341180646,28
Havvy,85,1396331921,62
Hello71,252,1348526267,161
HelloMcFly,555,1340734616,245
Houshalter,2196,1345660810,1850
Iftheshoefits,991,1373980723,489
Igglyboo,981,1392845652,537
Immortalin,227,1409906526,80
InclinedPlane,25613,1253657907,6536
IshKebab,120,1408792453,46
Istof,725,1386855406,351
IvyMike,3329,1236709928,660
JadeNB,593,1263096729,555
JoeAltmaier,6036,1255899679,5202
JohnBooty,1300,1336670777,351
Jonovono,374,1323028996,269
JoshTriplett,8107,1264446488,2206
JshWright,3317,1237216070,867
Karunamon,7654,1302558072,2958
Kequc,433,1362407548,268
Kiro,2394,1328401906,1711
Lambdanaut,479,1305244485,203
LeoPanthera,379,1398962838,140
Luc,3796,1205265313,975
LukeB_UK,701,1377686794,187
