ID,KARMA,CREATED,SUBMISSIONS
090178,2,1293703710,13
0max,150,1388123698,2
0x006A,645,1322658652,157
0x0,5323,1288173577,1318
0xdeadbeefbabe,294,1368460202,380
0xfffafaCrash,3,1412637581,2
1123581321,763,1328416616,480
123testaccount,2,1411057724,5
12ifrb,1,1413664752,1
13,206,1412355397,101
1457389,205,1387098913,100
1a2a3a4a,5,1396905193,8
1hackaday,1,1405369285,3
1o57,6,1413212455,3
1stranger,1,1413175170,2
23david,679,1296243811,251
2510c39011c5,198,1358217145,48
27182818284,1507,1215374975,1086
2Pacalypse-,10,1367943563,10
2muchcoffeeman,467,1293187025,388
300bps,4416,1367865785,894
30thElement,161,1284137687,66
31reasons,1255,1346526443,558
37prime,391,1265424905,138
3A2D50,30,1279426259,15
3ifbyw,26,1394059332,15
3pt14159,6240,1224607489,1589
3rd3,1784,1348982153,823
4ad,2635,1312476682,842
4k,228,1403703869,24
4lejandrito,9,1413391784,1
51Cards,3494,1271459779,578
5414h,-18,1404824993,21
54mf,486,1315831820,225
616c,1207,1355060664,472
6581,199,1388437132,26
67726e,1706,1345088543,330
72deluxe,559,1343998480,739
7952,718,1304796090,670
7Figures2Commas,2325,1365188378,793
88e282102ae2e5b,18,1406066804,15
88trh,16,1385543218,5
8_hours_ago,155,1380157068,75
8ig8,2235,1276971819,565
91pavan,1,1413088004,3
A1kmm,1053,1282780898,350
AJ007,3682,1294341645,866
AJAlabs,73,1365094473,20
ANTSANTS,2338,1346073937,631
ARCarr,15,1407947448,10
ASneakyFox,20,1394442565,200
ASquare,1736,1362449160,724
AYBABTME,1352,1336649080,473
Aardwolf,1348,1347787789,724
Aaronneyer,208,1323499713,74
AbeEstrada,20,1289584856,8
AceJohnny2,1326,1316559292,337
Achshar,1041,1312717975,639
Adaptive,1076,1248409906,276
AdmiralAsshat,235,1381167698,108
AdrianRossouw,794,1323209286,477
Afal,95,1332863986,38
Afforess,1843,1358977044,345
Afton,595,1187891889,122
AgLiAn,14,1374835549,16
Aheinemann,8,1412445324,1
AhtiK,1352,1255448392,260
Aissen,2650,1294178865,282
Akkuma,4,1399658231,18
Al-Khwarizmi,292,1353776830,103
Al__Dante,11,1390383563,9
Alain-lf,17,1413175232,2
Aldo_MX,659,1363402871,335
AlecSchueler,88,1249998104,48
Alex3917,16593,1172270676,5199
AlexMuir,4924,1278416223,672
AlexanderDhoore,1224,1361115719,350
AllThingsSmitty,184,1394814559,20
Aloha,1538,1314502803,587
AloisReitbauer,1,1413303069,1
Alphasite_,165,1354313715,172
Already__Taken,405,1352681940,264
Alupis,1277,1400030400,1047
AlyssaRowan,848,1401661586,370
AmadKamali,101,1304858271,25
Amezarak,424,1387591199,193
AndrewDucker,17544,1228825147,2136
AndyKelley,2412,1208312593,643
AngrySkillzz,225,1329074541,84
Animats,3740,1410156919,926
Anjin,77,1206654669,27
Ankaios,75,1346818320,35
AnthonyMouse,4386,1333120512,1840
Apocryphon,1734,1292377779,1086
Arcticus,12,1332159930,6
Argorak,5132,1284649073,1308
Arjuna,3798,1305748557,319
ArkyBeagle,186,1365635655,294
Arnt,99,1310017182,87
ArtDev,247,1374098873,200
Artemis2,581,1378305703,241
AsakiIssa,49,1380166815,8
AshFurrow,1112,1268168137,208
Ashbt,1,1413554237,1
AshleysBrain,1999,1296081924,438
AtTheLast,73,1283822986,104
Audiophilip,594,1359219791,73
Avshalom,1936,1232388989,736
AznHisoka,2298,1207186666,2016
BCM43,1631,1253831462,314
BIackSwan,1913,1305302441,185
BSousa,672,1238338475,319
BWStearns,502,1364857283,275
Bahamut,1163,1375545968,699
Balgair,604,1366928486,271
Bargs,18,1406159517,4
Bedon292,4,1413474978,4
Beltiras,259,1338392349,150
BenoitP,13,1375963336,23
BigBlackCamry,1,1413393157,4
BigChiefSmokem,152,1330841012,100
Bill_Dimm,551,1339442640,163
BillinghamJ,63,1328686026,47
BillyParadise,14,1394476459,14
BinaryIdiot,132,1396543267,98
Bjoern,606,1213921728,360
Blackthorn,285,1400303399,111
Blahah,3326,1355328083,594
Bluestrike2,499,1352131534,113
BogdanCalin,182,1339047560,34
Bootvis,1181,1276361499,390
BoppreH,1537,1268791243,552
BorisMelnik,390,1383980613,413
BostonEnginerd,51,1380896704,15
Braasch,2109,1331399422,68
Brian-Puccio,139,1368288158,49
BrianEatWorld,238,1339622078,144
BrianHV,216,1175284011,55
Brian_Curliss,159,1345601505,110
BruceIV,453,1339881813,272
BruceM,2717,1323610407,213
BuckRogers,70,1373343538,90
Bud,4341,1275006986,799
BugBrother,348,1389523509,400
BuildTheRobots,225,1373367941,120
